   SAO; m(vis); RA(deg); DEC(deg); RAchange(deg/yr); DECchange(deg/yr)
25276;6;84.14688824;54.42909747;-0.00000126;0.00000139
25447;5.3;88.74082366;59.88834385;-0.00000084;-0.00000556
25450;4.9;88.71156499;55.70705336;-0.0000063;0.00000611
25502;3.9;89.88182368;54.28470804;0.00003864;-0.000035
25597;5.4;92.49626197;58.93583784;0.00001302;0.00000639
25665;4.4;94.9058546;59.01095722;-0.00000378;0.00000694
25678;6;95.51522179;59.37226282;-0.00000042;0.00000111
25681;5.4;95.44253405;53.45211641;0.00001302;-0.00002555
25731;5.8;96.60794265;56.28511756;-0.00001134;0.00000583
25733;5.5;96.70376358;58.4172209;-0.00000252;-0.0000025
25771;6;97.69653077;58.16276223;-0.00001344;-0.00009305
25842;5.8;99.41043149;56.85765386;0;0.00000333
25939;4.9;101.5589237;59.44180445;-0.0000126;-0.00000056
25947;5.5;101.7066071;57.16919519;0.0000105;-0.00001056
26012;5.4;103.2711079;59.44864614;-0.00000336;-0.00001083
26051;4.5;104.3189455;58.42265426;-0.00000252;-0.0000375
26223;5.7;108.3474596;51.42874045;0.0000021;0.00000389
26248;5.3;108.9787018;59.63755211;-0.00005334;-0.00007139
26260;6;109.3905726;52.13090449;-0.00000084;-0.00000694
26312;5.6;110.7169394;55.28144755;-0.00000126;-0.00000806
26333;5.9;111.2383816;51.88725181;0.0000063;-0.00000972
26423;6;114.1958201;55.75517553;-0.00000756;-0.00000972
26474;5;115.7517328;58.71043216;-0.00002016;-0.00001389
26488;5.3;116.0172914;50.433682;-0.00000504;-0.00000806
26535;6;117.7737835;54.12915567;-0.00001974;0.00001417
26618;5.8;120.3364012;59.04741568;0.00000924;0.00000889
26687;4.9;122.1143397;51.50668222;-0.00002688;-0.00000111
26701;6;122.515698;58.24821548;-0.00001218;-0.00002083
26732;5.9;123.4591942;56.45231759;-0.00000882;-0.00000861
26756;5.5;124.4601822;59.57115487;-0.00000042;0.00000083
26784;5.9;125.1088279;57.74322634;0.00003192;0.00000389
26819;5.6;125.9523327;53.21960777;-0.00001176;-0.00002833
26935;5.7;129.5924214;53.40141651;-0.00003654;-0.00000472
26946;6;129.8234421;52.71166044;-0.00001344;-0.00000778
27105;5.7;136.0016402;54.28389157;-0.0000021;0.00000111
27136;4.5;137.2178409;51.60456006;-0.0000609;-0.00000944
27185;5.5;138.9579081;56.74128724;-0.00000798;-0.00000861
27191;4.9;139.0474121;54.02187215;0.00002604;0.00001722
27219;6;140.430421;56.69927566;-0.0000042;-0.00000194
27289;3.3;143.2142761;51.67734921;-0.0004305;-0.00014777
27298;4.6;143.7061308;52.05149365;-0.0000294;-0.00000972
27377;5.4;146.6320691;57.12805681;0.0000021;0.00000944
27401;3.9;147.7474528;59.0387686;-0.00015918;-0.00004194
27408;4.5;148.026536;54.06435527;-0.00000168;0.00000583
27430;5.3;148.9291614;49.81993741;-0.0000021;0.00000667
27438;6;149.3067282;57.41822336;0.00001638;-0.00001639
27464;5.7;149.9653451;56.81177883;-0.00001512;-0.00000806
27503;5.7;151.1514289;53.89176084;-0.0000105;-0.00000083
27670;4.8;157.6566313;55.98058923;-0.00008862;-0.00000833
27695;5.2;158.790482;57.08267337;0.00003486;0.00001083
27724;5.7;159.7732906;53.66832727;-0.00004578;-0.00002139
